[bonsai2-run +0.002s] staging Ternary-Bonsai-2-27B-PQ2_0.gguf Qwen3.8-27B-DFlash2-r3-Q4_K_M.gguf -> /dev/shm/models (8 streams/file)
[bonsai2-run +3.036s] staged 7.8G
[bonsai2-run +3.037s] exec llama-server -m /dev/shm/models/Ternary-Bonsai-2-27B-PQ2_0.gguf -ngl 999 -fa on -c 8192 -np 1 --host 0.0.0.0 --port 8080 --no-warmup --metrics --jinja -md /dev/shm/models/Qwen3.8-27B-DFlash2-r3-Q4_K_M.gguf --spec-type draft-dflash --spec-draft-n-max 3 -ngld 999
0.00.126.521 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.126.866 W srv  llama_server: -----------------
0.00.126.871 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.126.871 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.126.871 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.126.871 W srv  llama_server: -----------------
0.00.128.150 I srv    load_model: loading model '/dev/shm/models/Ternary-Bonsai-2-27B-PQ2_0.gguf'
0.01.058.077 E llama_init_from_model: failed to initialize the context: dflash requires ctx_other to be set (this warning is normal during memory fitting)
0.01.103.951 W operator(): failed to measure the memory of the extra model, fitting without it: failed to create llama_context from model
0.02.810.587 I cmn          init: llama threadpool init, n_threads = 24
0.02.810.624 I common_speculative_init_result: loading draft model '/dev/shm/models/Qwen3.8-27B-DFlash2-r3-Q4_K_M.gguf'
0.03.546.839 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.03.546.855 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.03.546.857 I common_speculative_impl_draft_dflash: - n_max=3, n_min=0, p_min=0.00
0.03.546.858 I common_speculative_impl_draft_dflash: - block_size=8, mask_token_id=248070, n_extract=5, sample_from_anchor=true, lineage=dflash
0.03.599.603 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.599.618 I srv  llama_server: model loaded
0.03.599.621 I srv  llama_server: listening on http://0.0.0.0:8080
0.03.599.621 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.03.599.621 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.04.145.883 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
9.10.376.426 I slot print_timing: id  0 | task 8064 |    graphs reused =       7491
9.10.376.429 I slot print_timing: id  0 | task 8064 | draft acceptance = 0.95556 (  172 accepted /   180 generated), mean len =  3.87
9.10.376.465 I slot      release: id  0 | task 8064 | stop processing: n_tokens = 419, truncated = 0
9.10.379.305 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.248 (> 0.100 thold), f_keep = 0.084
9.10.379.386 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 342.081 MiB)
9.10.567.925 I slot launch_slot_: id  0 | task 8127 | processing task, is_child = 0
9.13.603.658 I slot print_timing: id  0 | task 8127 | prompt eval time =     342.89 ms /   141 tokens (    2.43 ms per token,   411.21 tokens per second)
9.13.603.665 I slot print_timing: id  0 | task 8127 |        eval time =    2692.81 ms /   170 tokens (   15.93 ms per token,    62.76 tokens per second)
9.13.603.666 I slot print_timing: id  0 | task 8127 |       total time =    3035.70 ms /   311 tokens
9.13.603.667 I slot print_timing: id  0 | task 8127 |    graphs reused =       7533
9.13.603.670 I slot print_timing: id  0 | task 8127 | draft acceptance = 0.95455 (  126 accepted /   132 generated), mean len =  3.86
9.13.603.705 I slot      release: id  0 | task 8127 | stop processing: n_tokens = 311, truncated = 0
9.13.606.427 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.384 (> 0.100 thold), f_keep = 0.106
9.13.606.501 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 360.692 MiB)
9.13.793.266 I slot launch_slot_: id  0 | task 8174 | processing task, is_child = 0
9.14.839.223 I slot print_timing: id  0 | task 8174 | prompt eval time =     258.99 ms /    86 tokens (    3.01 ms per token,   332.06 tokens per second)
9.14.839.230 I slot print_timing: id  0 | task 8174 |        eval time =     786.93 ms /    53 tokens (   15.13 ms per token,    66.08 tokens per second)
9.14.839.231 I slot print_timing: id  0 | task 8174 |       total time =    1045.92 ms /   139 tokens
9.14.839.231 I slot print_timing: id  0 | task 8174 |    graphs reused =       7545
9.14.839.234 I slot print_timing: id  0 | task 8174 | draft acceptance = 1.00000 (   39 accepted /    39 generated), mean len =  4.00
9.14.839.264 I slot      release: id  0 | task 8174 | stop processing: n_tokens = 138, truncated = 0
9.14.842.249 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.204 (> 0.100 thold), f_keep = 0.239
9.15.000.958 I slot launch_slot_: id  0 | task 8190 | processing task, is_child = 0
9.17.812.640 I slot print_timing: id  0 | task 8190 | prompt eval time =     352.60 ms /   162 tokens (    2.18 ms per token,   459.44 tokens per second)
9.17.812.648 I slot print_timing: id  0 | task 8190 |        eval time =    2459.05 ms /   157 tokens (   15.76 ms per token,    63.44 tokens per second)
9.17.812.648 I slot print_timing: id  0 | task 8190 |       total time =    2811.65 ms /   319 tokens
9.17.812.649 I slot print_timing: id  0 | task 8190 |    graphs reused =       7583
9.17.812.652 I slot print_timing: id  0 | task 8190 | draft acceptance = 0.97500 (  117 accepted /   120 generated), mean len =  3.92
9.17.812.687 I slot      release: id  0 | task 8190 | stop processing: n_tokens = 319, truncated = 0
9.17.815.374 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.292 (> 0.100 thold), f_keep = 0.103
9.17.815.448 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 369.225 MiB)
9.18.035.437 I slot launch_slot_: id  0 | task 8233 | processing task, is_child = 0
9.19.715.482 I slot print_timing: id  0 | task 8233 | prompt eval time =     280.26 ms /   113 tokens (    2.48 ms per token,   403.20 tokens per second)
9.19.715.490 I slot print_timing: id  0 | task 8233 |        eval time =    1399.75 ms /    92 tokens (   15.38 ms per token,    65.01 tokens per second)
9.19.715.491 I slot print_timing: id  0 | task 8233 |       total time =    1680.01 ms /   205 tokens
9.19.715.491 I slot print_timing: id  0 | task 8233 |    graphs reused =       7605
9.19.715.493 I slot print_timing: id  0 | task 8233 | draft acceptance = 1.00000 (   69 accepted /    69 generated), mean len =  4.00
9.19.715.526 I slot      release: id  0 | task 8233 | stop processing: n_tokens = 205, truncated = 0
9.19.718.842 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.128 (> 0.100 thold), f_keep = 0.161
9.19.879.451 I slot launch_slot_: id  0 | task 8259 | processing task, is_child = 0
9.23.387.629 I slot print_timing: id  0 | task 8259 | n_gen =    200, tg =  65.13 t/s, tg_3s =  65.46 t/s
9.25.538.069 I slot print_timing: id  0 | task 8259 | prompt eval time =     452.65 ms /   257 tokens (    1.76 ms per token,   567.77 tokens per second)
9.25.538.076 I slot print_timing: id  0 | task 8259 |        eval time =    5205.93 ms /   335 tokens (   15.59 ms per token,    64.16 tokens per second)
9.25.538.076 I slot print_timing: id  0 | task 8259 |       total time =    5658.58 ms /   592 tokens
9.25.538.077 I slot print_timing: id  0 | task 8259 |    graphs reused =       7688
9.25.538.080 I slot print_timing: id  0 | task 8259 | draft acceptance = 0.98039 (  250 accepted /   255 generated), mean len =  3.94
9.25.538.120 I slot      release: id  0 | task 8259 | stop processing: n_tokens = 592, truncated = 0
9.25.541.029 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.153 (> 0.100 thold), f_keep = 0.059
9.25.541.128 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 327.152 MiB)
9.25.747.002 I slot launch_slot_: id  0 | task 8347 | processing task, is_child = 0
9.29.189.981 I slot print_timing: id  0 | task 8347 | n_gen =    197, tg =  65.19 t/s, tg_3s =  65.52 t/s
9.30.295.110 I slot print_timing: id  0 | task 8347 | prompt eval time =     436.32 ms /   229 tokens (    1.91 ms per token,   524.85 tokens per second)
9.30.295.118 I slot print_timing: id  0 | task 8347 |        eval time =    4111.75 ms /   265 tokens (   15.57 ms per token,    64.21 tokens per second)
9.30.295.118 I slot print_timing: id  0 | task 8347 |       total time =    4548.07 ms /   494 tokens
9.30.295.119 I slot print_timing: id  0 | task 8347 |    graphs reused =       7753
9.30.295.122 I slot print_timing: id  0 | task 8347 | draft acceptance = 0.98010 (  197 accepted /   201 generated), mean len =  3.94
9.30.295.165 I slot      release: id  0 | task 8347 | stop processing: n_tokens = 493, truncated = 0
9.30.297.957 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.312 (> 0.100 thold), f_keep = 0.071
9.30.298.036 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 315.288 MiB)
9.30.488.832 I slot launch_slot_: id  0 | task 8417 | processing task, is_child = 0
9.33.105.178 I slot print_timing: id  0 | task 8417 | prompt eval time =     279.39 ms /   112 tokens (    2.49 ms per token,   400.87 tokens per second)
9.33.105.185 I slot print_timing: id  0 | task 8417 |        eval time =    2336.92 ms /   150 tokens (   15.68 ms per token,    63.76 tokens per second)
9.33.105.185 I slot print_timing: id  0 | task 8417 |       total time =    2616.31 ms /   262 tokens
9.33.105.186 I slot print_timing: id  0 | task 8417 |    graphs reused =       7789
9.33.105.189 I slot print_timing: id  0 | task 8417 | draft acceptance = 0.97368 (  111 accepted /   114 generated), mean len =  3.92
9.33.105.226 I slot      release: id  0 | task 8417 | stop processing: n_tokens = 261, truncated = 0
9.33.107.954 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.260 (> 0.100 thold), f_keep = 0.126
9.33.108.010 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 364.347 MiB)
9.33.290.920 I slot launch_slot_: id  0 | task 8458 | processing task, is_child = 0
9.35.113.474 I slot print_timing: id  0 | task 8458 | prompt eval time =     296.51 ms /   127 tokens (    2.33 ms per token,   428.31 tokens per second)
9.35.113.481 I slot print_timing: id  0 | task 8458 |        eval time =    1526.01 ms /   100 tokens (   15.41 ms per token,    64.88 tokens per second)
9.35.113.482 I slot print_timing: id  0 | task 8458 |       total time =    1822.52 ms /   227 tokens
9.35.113.482 I slot print_timing: id  0 | task 8458 |    graphs reused =       7813
9.35.113.485 I slot print_timing: id  0 | task 8458 | draft acceptance = 1.00000 (   75 accepted /    75 generated), mean len =  4.00
9.35.113.518 I slot      release: id  0 | task 8458 | stop processing: n_tokens = 227, truncated = 0
9.35.116.377 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.201 (> 0.100 thold), f_keep = 0.145
9.35.116.430 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 393.840 MiB)
9.35.298.888 I slot launch_slot_: id  0 | task 8486 | processing task, is_child = 0
9.38.655.473 I slot print_timing: id  0 | task 8486 | n_gen =    191, tg =  63.22 t/s, tg_3s =  63.55 t/s
9.38.717.181 I slot print_timing: id  0 | task 8486 | prompt eval time =     351.22 ms /   164 tokens (    2.14 ms per token,   466.94 tokens per second)
9.38.717.188 I slot print_timing: id  0 | task 8486 |        eval time =    3067.03 ms /   194 tokens (   15.89 ms per token,    62.93 tokens per second)
9.38.717.189 I slot print_timing: id  0 | task 8486 |       total time =    3418.26 ms /   358 tokens
9.38.717.189 I slot print_timing: id  0 | task 8486 |    graphs reused =       7861
9.38.717.193 I slot print_timing: id  0 | task 8486 | draft acceptance = 0.96000 (  144 accepted /   150 generated), mean len =  3.88
9.38.717.235 I slot      release: id  0 | task 8486 | stop processing: n_tokens = 358, truncated = 0
9.38.720.413 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.176 (> 0.100 thold), f_keep = 0.098
9.38.720.482 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 328.305 MiB)
9.38.908.047 I slot launch_slot_: id  0 | task 8539 | processing task, is_child = 0
9.42.322.571 I slot print_timing: id  0 | task 8539 | n_gen =    194, tg =  64.12 t/s, tg_3s =  64.45 t/s
9.43.307.537 I slot print_timing: id  0 | task 8539 | prompt eval time =     404.34 ms /   199 tokens (    2.03 ms per token,   492.16 tokens per second)
9.43.307.544 I slot print_timing: id  0 | task 8539 |        eval time =    3995.11 ms /   255 tokens (   15.73 ms per token,    63.58 tokens per second)
9.43.307.545 I slot print_timing: id  0 | task 8539 |       total time =    4399.45 ms /   454 tokens
9.43.307.545 I slot print_timing: id  0 | task 8539 |    graphs reused =       7924
9.43.307.548 I slot print_timing: id  0 | task 8539 | draft acceptance = 0.97436 (  190 accepted /   195 generated), mean len =  3.92
9.43.307.589 I slot      release: id  0 | task 8539 | stop processing: n_tokens = 454, truncated = 0
9.43.310.320 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.208 (> 0.100 thold), f_keep = 0.077
9.43.310.410 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 344.469 MiB)
9.43.504.841 I slot launch_slot_: id  0 | task 8607 | processing task, is_child = 0
9.46.875.894 I slot print_timing: id  0 | task 8607 | n_gen =    193, tg =  63.85 t/s, tg_3s =  64.18 t/s
9.47.369.792 I slot print_timing: id  0 | task 8607 | prompt eval time =     363.84 ms /   168 tokens (    2.17 ms per token,   461.74 tokens per second)
9.47.369.799 I slot print_timing: id  0 | task 8607 |        eval time =    3501.07 ms /   223 tokens (   15.77 ms per token,    63.41 tokens per second)
9.47.369.799 I slot print_timing: id  0 | task 8607 |       total time =    3864.91 ms /   391 tokens
9.47.369.800 I slot print_timing: id  0 | task 8607 |    graphs reused =       7979
9.47.369.803 I slot print_timing: id  0 | task 8607 | draft acceptance = 0.96491 (  165 accepted /   171 generated), mean len =  3.89
9.47.369.839 I slot      release: id  0 | task 8607 | stop processing: n_tokens = 390, truncated = 0
9.47.372.761 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.155 (> 0.100 thold), f_keep = 0.085
9.47.372.839 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 356.990 MiB)
9.47.562.247 I slot launch_slot_: id  0 | task 8667 | processing task, is_child = 0
9.50.994.120 I slot print_timing: id  0 | task 8667 | n_gen =    194, tg =  63.90 t/s, tg_3s =  64.23 t/s
9.51.791.584 I slot print_timing: id  0 | task 8667 | prompt eval time =     411.57 ms /   213 tokens (    1.93 ms per token,   517.53 tokens per second)
9.51.791.592 I slot print_timing: id  0 | task 8667 |        eval time =    3817.74 ms /   240 tokens (   15.97 ms per token,    62.60 tokens per second)
9.51.791.592 I slot print_timing: id  0 | task 8667 |       total time =    4229.31 ms /   453 tokens
9.51.791.593 I slot print_timing: id  0 | task 8667 |    graphs reused =       8039
9.51.791.596 I slot print_timing: id  0 | task 8667 | draft acceptance = 0.95699 (  178 accepted /   186 generated), mean len =  3.87
9.51.791.634 I slot      release: id  0 | task 8667 | stop processing: n_tokens = 453, truncated = 0
9.51.794.471 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.120 (> 0.100 thold), f_keep = 0.073
9.51.794.561 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 332.476 MiB)
9.51.986.494 I slot launch_slot_: id  0 | task 8732 | processing task, is_child = 0
9.55.494.815 I slot print_timing: id  0 | task 8732 | n_gen =    197, tg =  65.10 t/s, tg_3s =  65.43 t/s
9.57.291.432 I slot print_timing: id  0 | task 8732 | prompt eval time =     497.47 ms /   275 tokens (    1.81 ms per token,   552.80 tokens per second)
9.57.291.438 I slot print_timing: id  0 | task 8732 |        eval time =    4807.44 ms /   305 tokens (   15.81 ms per token,    63.24 tokens per second)
9.57.291.439 I slot print_timing: id  0 | task 8732 |       total time =    5304.90 ms /   580 tokens
9.57.291.439 I slot print_timing: id  0 | task 8732 |    graphs reused =       8115
9.57.291.442 I slot print_timing: id  0 | task 8732 | draft acceptance = 0.97009 (  227 accepted /   234 generated), mean len =  3.91
9.57.291.482 I slot      release: id  0 | task 8732 | stop processing: n_tokens = 580, truncated = 0
9.57.294.531 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.180 (> 0.100 thold), f_keep = 0.060
9.57.294.629 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 339.719 MiB)
9.57.495.198 I slot launch_slot_: id  0 | task 8813 | processing task, is_child = 0
10.00.710.478 I slot print_timing: id  0 | task 8813 | prompt eval time =     385.25 ms /   194 tokens (    1.99 ms per token,   503.57 tokens per second)
10.00.710.485 I slot print_timing: id  0 | task 8813 |        eval time =    2830.00 ms /   180 tokens (   15.81 ms per token,    63.25 tokens per second)
10.00.710.486 I slot print_timing: id  0 | task 8813 |       total time =    3215.25 ms /   374 tokens
10.00.710.486 I slot print_timing: id  0 | task 8813 |    graphs reused =       8159
10.00.710.489 I slot print_timing: id  0 | task 8813 | draft acceptance = 0.97101 (  134 accepted /   138 generated), mean len =  3.91
10.00.710.526 I slot      release: id  0 | task 8813 | stop processing: n_tokens = 374, truncated = 0
10.00.713.239 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.250 (> 0.100 thold), f_keep = 0.088
10.00.713.306 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 330.834 MiB)
10.00.898.057 I slot launch_slot_: id  0 | task 8862 | processing task, is_child = 0
10.03.717.806 I slot print_timing: id  0 | task 8862 | prompt eval time =     299.91 ms /   132 tokens (    2.27 ms per token,   440.13 tokens per second)
10.03.717.812 I slot print_timing: id  0 | task 8862 |        eval time =    2519.79 ms /   161 tokens (   15.75 ms per token,    63.50 tokens per second)
10.03.717.813 I slot print_timing: id  0 | task 8862 |       total time =    2819.71 ms /   293 tokens
10.03.717.813 I slot print_timing: id  0 | task 8862 |    graphs reused =       8198
10.03.717.816 I slot print_timing: id  0 | task 8862 | draft acceptance = 0.96748 (  119 accepted /   123 generated), mean len =  3.90
10.03.717.851 I slot      release: id  0 | task 8862 | stop processing: n_tokens = 292, truncated = 0
10.03.720.842 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.188 (> 0.100 thold), f_keep = 0.113
10.03.720.903 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 326.069 MiB)
10.03.902.667 I slot launch_slot_: id  0 | task 8906 | processing task, is_child = 0
10.07.308.875 I slot print_timing: id  0 | task 8906 | n_gen =    194, tg =  63.73 t/s, tg_3s =  64.06 t/s
10.07.436.586 I slot print_timing: id  0 | task 8906 | prompt eval time =     377.97 ms /   176 tokens (    2.15 ms per token,   465.65 tokens per second)
10.07.436.593 I slot print_timing: id  0 | task 8906 |        eval time =    3155.92 ms /   202 tokens (   15.70 ms per token,    63.69 tokens per second)
10.07.436.594 I slot print_timing: id  0 | task 8906 |       total time =    3533.89 ms /   378 tokens
10.07.436.594 I slot print_timing: id  0 | task 8906 |    graphs reused =       8247
10.07.436.597 I slot print_timing: id  0 | task 8906 | draft acceptance = 0.98039 (  150 accepted /   153 generated), mean len =  3.94
10.07.436.636 I slot      release: id  0 | task 8906 | stop processing: n_tokens = 377, truncated = 0
10.07.439.745 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.171 (> 0.100 thold), f_keep = 0.088
10.07.439.878 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 333.160 MiB)
10.07.630.410 I slot launch_slot_: id  0 | task 8960 | processing task, is_child = 0
10.10.665.511 I slot print_timing: id  0 | task 8960 | prompt eval time =     385.78 ms /   193 tokens (    2.00 ms per token,   500.28 tokens per second)
10.10.665.518 I slot print_timing: id  0 | task 8960 |        eval time =    2649.29 ms /   170 tokens (   15.68 ms per token,    63.79 tokens per second)
10.10.665.518 I slot print_timing: id  0 | task 8960 |       total time =    3035.07 ms /   363 tokens
10.10.665.519 I slot print_timing: id  0 | task 8960 |    graphs reused =       8288
10.10.665.522 I slot print_timing: id  0 | task 8960 | draft acceptance = 0.97674 (  126 accepted /   129 generated), mean len =  3.93
10.10.665.559 I slot      release: id  0 | task 8960 | stop processing: n_tokens = 362, truncated = 0
10.10.668.299 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.196 (> 0.100 thold), f_keep = 0.091
10.10.668.379 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 336.264 MiB)
10.10.856.082 I slot launch_slot_: id  0 | task 9006 | processing task, is_child = 0
10.14.252.608 I slot print_timing: id  0 | task 9006 | n_gen =    186, tg =  61.22 t/s, tg_3s =  61.55 t/s
10.15.421.440 I slot print_timing: id  0 | task 9006 | prompt eval time =     374.55 ms /   168 tokens (    2.23 ms per token,   448.54 tokens per second)
10.15.421.447 I slot print_timing: id  0 | task 9006 |        eval time =    4190.77 ms /   247 tokens (   17.04 ms per token,    58.70 tokens per second)
10.15.421.448 I slot print_timing: id  0 | task 9006 |       total time =    4565.32 ms /   415 tokens
10.15.421.448 I slot print_timing: id  0 | task 9006 |    graphs reused =       8354
10.15.421.451 I slot print_timing: id  0 | task 9006 | draft acceptance = 0.87745 (  179 accepted /   204 generated), mean len =  3.63
10.15.421.488 I slot      release: id  0 | task 9006 | stop processing: n_tokens = 415, truncated = 0
10.15.424.255 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.178 (> 0.100 thold), f_keep = 0.080
10.15.424.345 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 340.521 MiB)
10.15.616.754 I slot launch_slot_: id  0 | task 9077 | processing task, is_child = 0
10.19.021.361 I slot print_timing: id  0 | task 9077 | n_gen =    197, tg =  64.84 t/s, tg_3s =  65.17 t/s
10.19.268.654 I slot print_timing: id  0 | task 9077 | prompt eval time =     381.63 ms /   185 tokens (    2.06 ms per token,   484.76 tokens per second)
10.19.268.661 I slot print_timing: id  0 | task 9077 |        eval time =    3270.24 ms /   213 tokens (   15.43 ms per token,    64.83 tokens per second)
10.19.268.662 I slot print_timing: id  0 | task 9077 |       total time =    3651.87 ms /   398 tokens
10.19.268.663 I slot print_timing: id  0 | task 9077 |    graphs reused =       8405
10.19.268.665 I slot print_timing: id  0 | task 9077 | draft acceptance = 1.00000 (  159 accepted /   159 generated), mean len =  4.00
10.19.268.705 I slot      release: id  0 | task 9077 | stop processing: n_tokens = 397, truncated = 0
10.19.271.497 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.195 (> 0.100 thold), f_keep = 0.086
10.19.271.567 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 366.501 MiB)
10.19.467.388 I slot launch_slot_: id  0 | task 9133 | processing task, is_child = 0
10.22.857.593 I slot print_timing: id  0 | task 9133 | prompt eval time =     375.83 ms /   174 tokens (    2.16 ms per token,   462.97 tokens per second)
10.22.857.600 I slot print_timing: id  0 | task 9133 |        eval time =    3014.34 ms /   192 tokens (   15.78 ms per token,    63.36 tokens per second)
10.22.857.600 I slot print_timing: id  0 | task 9133 |       total time =    3390.17 ms /   366 tokens
10.22.857.601 I slot print_timing: id  0 | task 9133 |    graphs reused =       8452
10.22.857.604 I slot print_timing: id  0 | task 9133 | draft acceptance = 0.96599 (  142 accepted /   147 generated), mean len =  3.90
10.22.857.641 I slot      release: id  0 | task 9133 | stop processing: n_tokens = 365, truncated = 0
10.22.860.439 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.351 (> 0.100 thold), f_keep = 0.090
10.22.860.505 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 330.268 MiB)
10.23.047.045 I slot launch_slot_: id  0 | task 9185 | processing task, is_child = 0
10.26.189.637 I slot print_timing: id  0 | task 9185 | prompt eval time =     263.17 ms /    94 tokens (    2.80 ms per token,   357.18 tokens per second)
10.26.189.644 I slot print_timing: id  0 | task 9185 |        eval time =    2879.39 ms /   169 tokens (   17.14 ms per token,    58.35 tokens per second)
10.26.189.645 I slot print_timing: id  0 | task 9185 |       total time =    3142.55 ms /   263 tokens
10.26.189.645 I slot print_timing: id  0 | task 9185 |    graphs reused =       8497
10.26.189.648 I slot print_timing: id  0 | task 9185 | draft acceptance = 0.86525 (  122 accepted /   141 generated), mean len =  3.60
10.26.189.683 I slot      release: id  0 | task 9185 | stop processing: n_tokens = 263, truncated = 0
10.26.192.520 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.250 (> 0.100 thold), f_keep = 0.125
10.26.192.580 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 325.979 MiB)
10.26.376.166 I slot launch_slot_: id  0 | task 9235 | processing task, is_child = 0
10.28.962.297 I slot print_timing: id  0 | task 9235 | prompt eval time =     301.53 ms /   132 tokens (    2.28 ms per token,   437.76 tokens per second)
10.28.962.304 I slot print_timing: id  0 | task 9235 |        eval time =    2284.57 ms /   143 tokens (   16.09 ms per token,    62.16 tokens per second)
10.28.962.304 I slot print_timing: id  0 | task 9235 |       total time =    2586.10 ms /   275 tokens
10.28.962.305 I slot print_timing: id  0 | task 9235 |    graphs reused =       8532
10.28.962.308 I slot print_timing: id  0 | task 9235 | draft acceptance = 0.95495 (  106 accepted /   111 generated), mean len =  3.86
10.28.962.343 I slot      release: id  0 | task 9235 | stop processing: n_tokens = 275, truncated = 0
10.28.965.377 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.126 (> 0.100 thold), f_keep = 0.127
10.28.965.447 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.156 MiB)
10.29.149.182 I slot launch_slot_: id  0 | task 9275 | processing task, is_child = 0
10.32.666.981 I slot print_timing: id  0 | task 9275 | n_gen =    197, tg =  64.93 t/s, tg_3s =  65.26 t/s
10.33.596.581 I slot print_timing: id  0 | task 9275 | prompt eval time =     499.31 ms /   278 tokens (    1.80 ms per token,   556.77 tokens per second)
10.33.596.589 I slot print_timing: id  0 | task 9275 |        eval time =    3948.06 ms /   255 tokens (   15.54 ms per token,    64.34 tokens per second)
10.33.596.589 I slot print_timing: id  0 | task 9275 |       total time =    4447.37 ms /   533 tokens
10.33.596.590 I slot print_timing: id  0 | task 9275 |    graphs reused =       8594
10.33.596.593 I slot print_timing: id  0 | task 9275 | draft acceptance = 0.99479 (  191 accepted /   192 generated), mean len =  3.98
10.33.596.633 I slot      release: id  0 | task 9275 | stop processing: n_tokens = 533, truncated = 0
10.33.599.562 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.254 (> 0.100 thold), f_keep = 0.062
10.33.599.641 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 332.203 MiB)
10.33.797.313 I slot launch_slot_: id  0 | task 9342 | processing task, is_child = 0
10.35.569.161 I slot print_timing: id  0 | task 9342 | prompt eval time =     301.74 ms /   130 tokens (    2.32 ms per token,   430.83 tokens per second)
10.35.569.169 I slot print_timing: id  0 | task 9342 |        eval time =    1470.07 ms /    97 tokens (   15.31 ms per token,    65.30 tokens per second)
10.35.569.169 I slot print_timing: id  0 | task 9342 |       total time =    1771.82 ms /   227 tokens
10.35.569.170 I slot print_timing: id  0 | task 9342 |    graphs reused =       8617
10.35.569.172 I slot print_timing: id  0 | task 9342 | draft acceptance = 1.00000 (   72 accepted /    72 generated), mean len =  4.00
10.35.569.206 I slot      release: id  0 | task 9342 | stop processing: n_tokens = 226, truncated = 0
10.35.573.348 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3336172425
10.35.573.414 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 372.650 MiB)
10.35.758.269 I slot launch_slot_: id  0 | task 9369 | processing task, is_child = 0
